matchNum,summoner,matchId,blueKills-redKills,blueAssists-redAssists,blueGold-redGold,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills,gameLength,numPlayers,outcome
187,Olórun,"NA1_4249568419",-20,-46,-10761,-1.6,-22292,0,1794,10,0
188,Olórun,"NA1_4249584641",9,37,5199,1,5576,2,1683,10,1
189,Olórun,"NA1_4249572090",-6,-14,7344,1.2,16873,1,2077,10,1
190,Olórun,"NA1_4249540687",-14,-19,-9189,-1.6,-19061,-1,1607,10,0
191,Olórun,"NA1_4248593741",-13,-9,-4132,-0.8,-2577,-3,1300,10,0
192,Olórun,"NA1_4248610037",-19,-23,-11618,-1,-9251,0,1213,10,0
193,Olórun,"NA1_4248537876",24,31,16515,2,18017,-1,1481,10,1
194,Olórun,"NA1_4248506194",9,19,9665,1.4,6443,1,1370,10,1
195,Olórun,"NA1_4242721745",16,12,8272,1.2,14301,4,1625,10,1
196,Olórun,"NA1_4238286189",-1,3,4659,0,11475,0,2560,10,1
197,Olórun,"NA1_4238302391",4,18,-1575,1,-18598,4,1954,10,0
198,Olórun,"NA1_4237438471",-15,-39,-10481,-1.6,-9246,-1,1983,10,0
199,Olórun,"NA1_4237454610",-26,-20,-12671,-2,-12947,0,932,10,0
200,Olórun,"NA1_4237411724",0,-10,3829,0.4,11599,1,1203,10,1
201,Olórun,"NA1_4236569451",-10,-21,-8441,-1.2,-6315,-1,1237,10,0
202,Olórun,"NA1_4236564400",-11,-28,-13860,-1.6,-16807,-2,1787,10,0
203,Olórun,"NA1_4236558564",-5,4,-12276,-1.6,-18540,-3,1986,10,0
204,Olórun,"NA1_4229209234",16,31,8649,1.2,19009,-3,2114,10,1
205,Olórun,"NA1_4229230871",-9,-18,-7921,-1.2,-10574,-4,1821,10,0
206,Olórun,"NA1_4229177185",-10,-7,-8073,-1,-11292,-2,1298,10,0
207,Olórun,"NA1_4229141943",-8,-9,2973,-0.2,6377,-1,2545,10,1
208,Olórun,"NA1_4229118441",-23,-24,-10078,-1.2,-4831,-2,1110,10,0
209,Olórun,"NA1_4229095828",13,16,11964,1,14280,3,1330,10,1
210,Olórun,"NA1_4228838425",10,20,8561,1,11725,4,1687,10,1
211,Olórun,"NA1_4227983338",-29,-40,-10777,-2.4,-4898,-3,1380,10,0
212,Olórun,"NA1_4227938999",14,6,10890,1.4,11639,1,1357,10,1
213,Olórun,"NA1_4227898515",10,19,5396,1,10449,4,1425,10,1
214,Olórun,"NA1_4227315073",17,42,8685,0.4,17602,-1,2084,10,1
215,Olórun,"NA1_4227198561",-18,-25,-14282,-1.6,-19355,-2,1305,10,0
216,Olórun,"NA1_4227182154",15,10,15613,1.8,22382,1,1264,10,1
217,Olórun,"NA1_4169784107",-13,-19,-8625,-1.2,-3385,1,2573,10,0
218,Olórun,"NA1_4169726283",-5,-4,-10030,-1.2,-7238,-4,1901,10,0
219,Olórun,"NA1_4168916894",22,29,9176,1.2,15993,3,1714,10,1
220,Olórun,"NA1_4168845494",-4,-37,-4172,-0.8,-1307,-5,2324,10,0
221,Olórun,"NA1_4168783665",7,20,11707,1.6,9826,1,2361,10,1
222,Olórun,"NA1_4168722936",28,35,17504,1.6,21900,2,1608,10,1
223,Olórun,"NA1_4075855385",18,7,12148,1,16214,3,2068,10,1
224,Olórun,"NA1_4061812002",20,42,15359,2,26756,0,1655824,10,1
225,Olórun,"NA1_4061525790",-6,1,-3544,-0.4,-1692,1,1986622,10,0
226,Olórun,"NA1_4061466882",19,24,12110,1.6,19851,1,1628484,10,1
227,Olórun,"NA1_4060829103",-11,-19,-320,-0.8,-2849,2,1727054,10,0
228,Olórun,"NA1_4060597860",-23,-24,-11939,-2,-13095,-2,1607574,10,0
229,Olórun,"NA1_4060585558",14,30,8700,2,8208,3,1851115,10,1
230,Olórun,"NA1_4003431491",18,14,13024,1.6,9410,3,1382630,10,1
231,Olórun,"NA1_4003315871",-16,-15,-9306,-1,-9314,-2,1360687,10,0
232,Olórun,"NA1_4003312764",12,12,8296,0.8,8403,0,2516469,10,1
233,Olórun,"NA1_4001205118",11,16,12592,1.6,12710,3,1888488,10,1
234,Olórun,"NA1_4000668032",-17,-4,-12267,-2,-16618,-4,1666453,10,0
235,Winnipeg The Shy,"NA1_4265614788",-22,-18,-9874,-1.4,-11851,2,1933,10,0
236,Winnipeg The Shy,"NA1_4265590811",-9,-15,-10468,-1.6,-19129,-1,1541,10,0
237,Winnipeg The Shy,"NA1_4265574327",-19,-36,-15305,-1.2,-23041,-2,1650,10,0
238,Winnipeg The Shy,"NA1_4265468188",-14,-12,-8918,-1.4,-10488,-4,1802,10,0
239,Winnipeg The Shy,"NA1_4265183603",-8,-36,-3919,-1,500,2,1745,10,0
240,Winnipeg The Shy,"NA1_4265148763",3,11,9056,1,8136,2,1657,10,1
241,Winnipeg The Shy,"NA1_4265154519",16,5,9006,-0,16230,1,1395,10,1
242,Winnipeg The Shy,"NA1_4264672627",-23,-18,-14002,-1.6,-23323,-3,2047,10,0
243,Winnipeg The Shy,"NA1_4264577409",0,5,4197,1.2,1238,3,1969,10,1
244,Winnipeg The Shy,"NA1_4264570138",9,23,4529,1,3778,2,1896,10,1
245,Winnipeg The Shy,"NA1_4264503651",-5,-22,-4771,-0.6,-5597,2,1698,10,0
246,Winnipeg The Shy,"NA1_4264455984",-5,-15,-2750,0,-1705,-5,2029,10,0
247,Winnipeg The Shy,"NA1_4258979374",18,23,7763,1.6,11833,0,1781,10,1
248,Winnipeg The Shy,"NA1_4258962906",-19,-21,-16607,-1.8,-22557,-2,1631,10,0
249,Winnipeg The Shy,"NA1_4258947703",12,24,6695,1.4,10921,0,1302,10,1
250,Winnipeg The Shy,"NA1_4258916798",20,17,14527,1.4,18142,2,1182,10,1
251,Winnipeg The Shy,"NA1_4258922358",-19,-42,-8338,-1.4,-9993,-4,1787,10,0
252,Winnipeg The Shy,"NA1_4258222796",-16,-23,-10973,-2.2,-12088,-1,1210,10,0
253,Winnipeg The Shy,"NA1_4258149653",23,35,14564,2,15855,3,1490,10,1
254,Winnipeg The Shy,"NA1_4252053984",12,34,6277,0.6,1453,2,2535,10,1
255,Winnipeg The Shy,"NA1_4251957762",-6,-20,-9019,-1.4,-11612,-1,1588,10,0
256,Winnipeg The Shy,"NA1_4251829649",-4,-7,-2658,-0.2,-8322,-3,2339,10,0
257,Winnipeg The Shy,"NA1_4244960888",-2,-28,-6488,-1,-7252,0,2147,10,0
258,Winnipeg The Shy,"NA1_4244915660",-19,-31,-11880,-1.8,-4748,-4,1745,10,0
259,Winnipeg The Shy,"NA1_4244890194",-22,-43,-9879,-0.8,-11857,-4,1693,10,0
260,Winnipeg The Shy,"NA1_4244806379",-25,-61,-10603,-0.6,-4424,0,2557,10,0
261,Winnipeg The Shy,"NA1_4224597835",3,21,-2398,0.4,-2096,1,2259,10,1
262,Winnipeg The Shy,"NA1_4224510021",23,31,14756,1.8,21064,4,1491,10,1
263,Winnipeg The Shy,"NA1_4224182543",16,9,15355,2,15218,2,1209,10,1
264,Winnipeg The Shy,"NA1_4223003980",24,32,13902,1.4,14670,1,1381,10,1
265,Winnipeg The Shy,"NA1_4222989910",16,26,10953,1.6,17235,2,1774,10,1
266,Winnipeg The Shy,"NA1_4222936012",-15,-26,-8203,-1,-6758,-1,1447,10,0
267,Winnipeg The Shy,"NA1_4222961117",8,19,8250,1,13868,3,1863,10,1
268,Winnipeg The Shy,"NA1_4222898724",-12,-23,-9872,-1.2,-11593,-1,1212,10,0
269,Winnipeg The Shy,"NA1_4222895749",0,-6,-1777,-0.2,-13420,-1,1528,10,0
270,Winnipeg The Shy,"NA1_4207179663",14,-1,12326,1,19627,4,1479,10,1
271,Winnipeg The Shy,"NA1_4207196394",-28,-34,-16913,-2.8,-22270,-2,1198,10,0
272,Winnipeg The Shy,"NA1_4207143247",3,8,3303,0,5355,-1,1976,10,1
273,Winnipeg The Shy,"NA1_4207189985",12,21,9752,1.4,11287,1,1461,10,1
274,Winnipeg The Shy,"NA1_4206689610",-20,-35,-10072,-1.6,-15494,-2,1666,10,0
275,Winnipeg The Shy,"NA1_4206426303",14,15,9652,1.6,7156,4,1661,10,1
276,Winnipeg The Shy,"NA1_4199161368",8,18,-5170,0,-10417,0,1841,10,0
277,Winnipeg The Shy,"NA1_4199098537",-15,-8,-10744,-0.6,-4725,-3,2164,10,0
278,Winnipeg The Shy,"NA1_4199065994",-20,-38,-14256,-1.6,-12882,2,1795,10,0
279,Winnipeg The Shy,"NA1_4198396757",-8,-10,-6698,-1.2,-4328,-1,614,10,0
280,Winnipeg The Shy,"NA1_4198383978",15,31,9149,1.2,7434,-1,667,10,1
281,Winnipeg The Shy,"NA1_4198289093",16,15,10156,0.2,24485,2,1602,10,1
282,Winnipeg The Shy,"NA1_4198322010",11,37,7521,1.8,17482,2,1691,10,1
283,Winnipeg The Shy,"NA1_4198118181",12,19,10963,0.8,15314,3,1411,10,1
284,Winnipeg The Shy,"NA1_4198131685",15,36,15530,1.6,15266,0,1780,10,1
285,C9 Score,"NA1_4266878401",-23,-23,-12390,-0.4,-22926,-3,2265,10,0
286,C9 Score,"NA1_4266836838",19,42,8714,1.4,1560,0,1616,10,1
287,C9 Score,"NA1_4265956920",-8,-14,-10273,-1.4,-11051,1,835,10,0
288,C9 Score,"NA1_4265991758",-18,-30,-8269,-2,3,-4,1728,10,0
289,C9 Score,"NA1_4263704632",4,-1,-13,-0.4,17585,3,1868,10,1
290,C9 Score,"NA1_4263691590",7,12,7414,1.2,12702,2,1847,10,1
291,C9 Score,"NA1_4263637561",-7,-5,-1096,-0.4,-10307,2,2379,10,0
292,C9 Score,"NA1_4262040852",13,4,13144,1.8,11599,3,1352,10,1
293,C9 Score,"NA1_4261996155",10,14,8085,-0.2,7713,-3,2158,10,1
294,C9 Score,"NA1_4260887169",-12,-12,-11087,-1.4,-12425,0,1256,10,0
295,C9 Score,"NA1_4260903716",-20,-27,-9415,-1.8,-10171,-3,1286,10,0
296,C9 Score,"NA1_4260872383",-12,-26,-9778,-1.2,-9547,3,2219,10,0
297,C9 Score,"NA1_4258027411",-12,-39,-5730,-0.8,-8253,-1,2075,10,0
298,C9 Score,"NA1_4258013621",6,-16,-4376,-0.4,-14225,-2,2057,10,0
299,C9 Score,"NA1_4257998991",24,28,12120,1.6,13540,4,1420,10,1
300,C9 Score,"NA1_4257987936",-21,-25,-16596,-2,-17255,0,966,10,0
301,C9 Score,"NA1_4257015839",-15,-24,-8363,-1.4,-15578,-4,1808,10,0
